#---------------------------------------------------
#                 SIR simulation 2020               
#                         by mirinnes               
#----------------------------------------------------
#                                                    
#CANT HAB: 10000
#REGION: [0,50]x[0,50]
#PERIOD DUR: 1000
#LONG CONTAG: 0.5
#D   S    I    R
1    9999    1    0
2    9998    2    0
3    9995    5    0
4    9993    7    0
5    9990    10    0
6    9984    16    0
7    9973    27    0
8    9955    45    0
9    9935    65    0
10    9914    86    0
11    9892    108    0
12    9870    129    1
13    9841    157    2
14    9812    183    5
15    9782    211    7
16    9744    246    10
17    9695    289    16
18    9651    322    27
19    9592    363    45
20    9543    392    65
21    9483    431    86
22    9426    466    108
23    9370    500    130
24    9303    538    159
25    9227    585    188
26    9164    618    218
27    9095    649    256
28    9019    676    305
29    8924    727    349
30    8800    792    408
31    8693    850    457
32    8556    927    517
33    8402    1024    574
34    8251    1119    630
35    8102    1201    697
36    7974    1253    773
37    7829    1335    836
38    7688    1407    905
39    7535    1484    981
40    7394    1530    1076
41    7245    1555    1200
42    7065    1628    1307
43    6885    1671    1444
44    6720    1682    1598
45    6531    1720    1749
46    6353    1749    1898
47    6168    1806    2026
48    5988    1841    2171
49    5832    1856    2312
50    5672    1863    2465
51    5488    1906    2606
52    5301    1944    2755
53    5115    1950    2935
54    4907    1978    3115
55    4687    2033    3280
56    4480    2051    3469
57    4264    2089    3647
58    4073    2095    3832
59    3879    2109    4012
60    3649    2183    4168
61    3444    2228    4328
62    3212    2276    4512
63    2980    2321    4699
64    2720    2395    4885
65    2448    2459    5093
66    2202    2485    5313
67    2001    2479    5520
68    1858    2406    5736
69    1686    2387    5927
70    1551    2328    6121
71    1428    2221    6351
72    1307    2137    6556
73    1209    2003    6788
74    1101    1879    7020
75    978    1742    7280
76    885    1563    7552
77    772    1430    7798
78    669    1332    7999
79    583    1275    8142
80    505    1181    8314
81    437    1114    8449
82    377    1051    8572
83    321    986    8693
84    273    936    8791
85    238    863    8899
86    190    788    9022
87    142    743    9115
88    100    672    9228
89    68    601    9331
90    46    537    9417
91    33    472    9495
92    25    412    9563
93    14    363    9623
94    8    313    9679
95    3    270    9727
96    1    237    9762
97    1    189    9810
98    1    141    9858
99    1    99    9900
100    1    67    9932
101    1    45    9954
102    1    32    9967
103    1    24    9975
104    1    13    9986
105    1    7    9992
106    1    2    9997
107    1    0    9999
108    1    0    9999
109    1    0    9999
110    1    0    9999
111    1    0    9999
112    1    0    9999
113    1    0    9999
114    1    0    9999
115    1    0    9999
116    1    0    9999
117    1    0    9999
118    1    0    9999
119    1    0    9999
120    1    0    9999
121    1    0    9999
122    1    0    9999
123    1    0    9999
124    1    0    9999
125    1    0    9999
126    1    0    9999
127    1    0    9999
128    1    0    9999
129    1    0    9999
130    1    0    9999
131    1    0    9999
132    1    0    9999
133    1    0    9999
134    1    0    9999
135    1    0    9999
136    1    0    9999
137    1    0    9999
138    1    0    9999
139    1    0    9999
140    1    0    9999
141    1    0    9999
142    1    0    9999
143    1    0    9999
144    1    0    9999
145    1    0    9999
146    1    0    9999
147    1    0    9999
148    1    0    9999
149    1    0    9999
150    1    0    9999
151    1    0    9999
152    1    0    9999
153    1    0    9999
154    1    0    9999
155    1    0    9999
156    1    0    9999
157    1    0    9999
158    1    0    9999
159    1    0    9999
160    1    0    9999
161    1    0    9999
162    1    0    9999
163    1    0    9999
164    1    0    9999
165    1    0    9999
166    1    0    9999
167    1    0    9999
168    1    0    9999
169    1    0    9999
170    1    0    9999
171    1    0    9999
172    1    0    9999
173    1    0    9999
174    1    0    9999
175    1    0    9999
176    1    0    9999
177    1    0    9999
178    1    0    9999
179    1    0    9999
180    1    0    9999
181    1    0    9999
182    1    0    9999
183    1    0    9999
184    1    0    9999
185    1    0    9999
186    1    0    9999
187    1    0    9999
188    1    0    9999
189    1    0    9999
190    1    0    9999
191    1    0    9999
192    1    0    9999
193    1    0    9999
194    1    0    9999
195    1    0    9999
196    1    0    9999
197    1    0    9999
198    1    0    9999
199    1    0    9999
200    1    0    9999
201    1    0    9999
202    1    0    9999
203    1    0    9999
204    1    0    9999
205    1    0    9999
206    1    0    9999
207    1    0    9999
208    1    0    9999
209    1    0    9999
210    1    0    9999
211    1    0    9999
212    1    0    9999
213    1    0    9999
214    1    0    9999
215    1    0    9999
216    1    0    9999
217    1    0    9999
218    1    0    9999
219    1    0    9999
220    1    0    9999
221    1    0    9999
222    1    0    9999
223    1    0    9999
224    1    0    9999
225    1    0    9999
226    1    0    9999
227    1    0    9999
228    1    0    9999
229    1    0    9999
230    1    0    9999
231    1    0    9999
232    1    0    9999
233    1    0    9999
234    1    0    9999
235    1    0    9999
236    1    0    9999
237    1    0    9999
238    1    0    9999
239    1    0    9999
240    1    0    9999
241    1    0    9999
242    1    0    9999
243    1    0    9999
244    1    0    9999
245    1    0    9999
246    1    0    9999
247    1    0    9999
248    1    0    9999
249    1    0    9999
250    1    0    9999
251    1    0    9999
252    1    0    9999
253    1    0    9999
254    1    0    9999
255    1    0    9999
256    1    0    9999
257    1    0    9999
258    1    0    9999
259    1    0    9999
260    1    0    9999
261    1    0    9999
262    1    0    9999
263    1    0    9999
264    1    0    9999
265    1    0    9999
266    1    0    9999
267    1    0    9999
268    1    0    9999
269    1    0    9999
270    1    0    9999
271    1    0    9999
272    1    0    9999
273    1    0    9999
274    1    0    9999
275    1    0    9999
276    1    0    9999
277    1    0    9999
278    1    0    9999
279    1    0    9999
280    1    0    9999
281    1    0    9999
282    1    0    9999
283    1    0    9999
284    1    0    9999
285    1    0    9999
286    1    0    9999
287    1    0    9999
288    1    0    9999
289    1    0    9999
290    1    0    9999
291    1    0    9999
292    1    0    9999
293    1    0    9999
294    1    0    9999
295    1    0    9999
296    1    0    9999
297    1    0    9999
298    1    0    9999
299    1    0    9999
300    1    0    9999
301    1    0    9999
302    1    0    9999
303    1    0    9999
304    1    0    9999
305    1    0    9999
306    1    0    9999
307    1    0    9999
308    1    0    9999
309    1    0    9999
310    1    0    9999
311    1    0    9999
312    1    0    9999
313    1    0    9999
314    1    0    9999
315    1    0    9999
316    1    0    9999
317    1    0    9999
318    1    0    9999
319    1    0    9999
320    1    0    9999
321    1    0    9999
322    1    0    9999
323    1    0    9999
324    1    0    9999
325    1    0    9999
326    1    0    9999
327    1    0    9999
328    1    0    9999
329    1    0    9999
330    1    0    9999
331    1    0    9999
332    1    0    9999
333    1    0    9999
334    1    0    9999
335    1    0    9999
336    1    0    9999
337    1    0    9999
338    1    0    9999
339    1    0    9999
340    1    0    9999
341    1    0    9999
342    1    0    9999
343    1    0    9999
344    1    0    9999
345    1    0    9999
346    1    0    9999
347    1    0    9999
348    1    0    9999
349    1    0    9999
350    1    0    9999
351    1    0    9999
352    1    0    9999
353    1    0    9999
354    1    0    9999
355    1    0    9999
356    1    0    9999
357    1    0    9999
358    1    0    9999
359    1    0    9999
360    1    0    9999
361    1    0    9999
362    1    0    9999
363    1    0    9999
364    1    0    9999
365    1    0    9999
366    1    0    9999
367    1    0    9999
368    1    0    9999
369    1    0    9999
370    1    0    9999
371    1    0    9999
372    1    0    9999
373    1    0    9999
374    1    0    9999
375    1    0    9999
376    1    0    9999
377    1    0    9999
378    1    0    9999
379    1    0    9999
380    1    0    9999
381    1    0    9999
382    1    0    9999
383    1    0    9999
384    1    0    9999
385    1    0    9999
386    1    0    9999
387    1    0    9999
388    1    0    9999
389    1    0    9999
390    1    0    9999
391    1    0    9999
392    1    0    9999
393    1    0    9999
394    1    0    9999
395    1    0    9999
396    1    0    9999
397    1    0    9999
398    1    0    9999
399    1    0    9999
400    1    0    9999
401    1    0    9999
402    1    0    9999
403    1    0    9999
404    1    0    9999
405    1    0    9999
406    1    0    9999
407    1    0    9999
408    1    0    9999
409    1    0    9999
410    1    0    9999
411    1    0    9999
412    1    0    9999
413    1    0    9999
414    1    0    9999
415    1    0    9999
416    1    0    9999
417    1    0    9999
418    1    0    9999
419    1    0    9999
420    1    0    9999
421    1    0    9999
422    1    0    9999
423    1    0    9999
424    1    0    9999
425    1    0    9999
426    1    0    9999
427    1    0    9999
428    1    0    9999
429    1    0    9999
430    1    0    9999
431    1    0    9999
432    1    0    9999
433    1    0    9999
434    1    0    9999
435    1    0    9999
436    1    0    9999
437    1    0    9999
438    1    0    9999
439    1    0    9999
440    1    0    9999
441    1    0    9999
442    1    0    9999
443    1    0    9999
444    1    0    9999
445    1    0    9999
446    1    0    9999
447    1    0    9999
448    1    0    9999
449    1    0    9999
450    1    0    9999
451    1    0    9999
452    1    0    9999
453    1    0    9999
454    1    0    9999
455    1    0    9999
456    1    0    9999
457    1    0    9999
458    1    0    9999
459    1    0    9999
460    1    0    9999
461    1    0    9999
462    1    0    9999
463    1    0    9999
464    1    0    9999
465    1    0    9999
466    1    0    9999
467    1    0    9999
468    1    0    9999
469    1    0    9999
470    1    0    9999
471    1    0    9999
472    1    0    9999
473    1    0    9999
474    1    0    9999
475    1    0    9999
476    1    0    9999
477    1    0    9999
478    1    0    9999
479    1    0    9999
480    1    0    9999
481    1    0    9999
482    1    0    9999
483    1    0    9999
484    1    0    9999
485    1    0    9999
486    1    0    9999
487    1    0    9999
488    1    0    9999
489    1    0    9999
490    1    0    9999
491    1    0    9999
492    1    0    9999
493    1    0    9999
494    1    0    9999
495    1    0    9999
496    1    0    9999
497    1    0    9999
498    1    0    9999
499    1    0    9999
500    1    0    9999
501    1    0    9999
502    1    0    9999
503    1    0    9999
504    1    0    9999
505    1    0    9999
506    1    0    9999
507    1    0    9999
508    1    0    9999
509    1    0    9999
510    1    0    9999
511    1    0    9999
512    1    0    9999
513    1    0    9999
514    1    0    9999
515    1    0    9999
516    1    0    9999
517    1    0    9999
518    1    0    9999
519    1    0    9999
520    1    0    9999
521    1    0    9999
522    1    0    9999
523    1    0    9999
524    1    0    9999
525    1    0    9999
526    1    0    9999
