#---------------------------------------------------
#                 SIR simulation 2020               
#                         by mirinnes               
#----------------------------------------------------
#                                                    
#CANT HAB: 10000
#REGION: [0,50]x[0,50]
#PERIOD DUR: 1000
#LONG CONTAG: 0.5
#D   S    I    R
527    1    0    9999
528    1    0    9999
529    1    0    9999
530    1    0    9999
531    1    0    9999
532    1    0    9999
533    1    0    9999
534    1    0    9999
535    1    0    9999
536    1    0    9999
537    1    0    9999
538    1    0    9999
539    1    0    9999
540    1    0    9999
541    1    0    9999
542    1    0    9999
543    1    0    9999
544    1    0    9999
545    1    0    9999
546    1    0    9999
547    1    0    9999
548    1    0    9999
549    1    0    9999
550    1    0    9999
551    1    0    9999
552    1    0    9999
553    1    0    9999
554    1    0    9999
555    1    0    9999
556    1    0    9999
557    1    0    9999
558    1    0    9999
559    1    0    9999
560    1    0    9999
561    1    0    9999
562    1    0    9999
563    1    0    9999
564    1    0    9999
565    1    0    9999
566    1    0    9999
567    1    0    9999
568    1    0    9999
569    1    0    9999
570    1    0    9999
571    1    0    9999
572    1    0    9999
573    1    0    9999
574    1    0    9999
575    1    0    9999
576    1    0    9999
577    1    0    9999
578    1    0    9999
579    1    0    9999
580    1    0    9999
581    1    0    9999
582    1    0    9999
583    1    0    9999
584    1    0    9999
585    1    0    9999
586    1    0    9999
587    1    0    9999
588    1    0    9999
589    1    0    9999
590    1    0    9999
591    1    0    9999
592    1    0    9999
593    1    0    9999
594    1    0    9999
595    1    0    9999
596    1    0    9999
597    1    0    9999
598    1    0    9999
599    1    0    9999
600    1    0    9999
601    1    0    9999
602    1    0    9999
603    1    0    9999
604    1    0    9999
605    1    0    9999
606    1    0    9999
607    1    0    9999
608    1    0    9999
609    1    0    9999
610    1    0    9999
611    1    0    9999
612    1    0    9999
613    1    0    9999
614    1    0    9999
615    1    0    9999
616    1    0    9999
617    1    0    9999
618    1    0    9999
619    1    0    9999
620    1    0    9999
621    1    0    9999
622    1    0    9999
623    1    0    9999
624    1    0    9999
625    1    0    9999
626    1    0    9999
627    1    0    9999
628    1    0    9999
629    1    0    9999
630    1    0    9999
631    1    0    9999
632    1    0    9999
633    1    0    9999
634    1    0    9999
635    1    0    9999
636    1    0    9999
637    1    0    9999
638    1    0    9999
639    1    0    9999
640    1    0    9999
641    1    0    9999
642    1    0    9999
643    1    0    9999
644    1    0    9999
645    1    0    9999
646    1    0    9999
647    1    0    9999
648    1    0    9999
649    1    0    9999
650    1    0    9999
651    1    0    9999
652    1    0    9999
653    1    0    9999
654    1    0    9999
655    1    0    9999
656    1    0    9999
657    1    0    9999
658    1    0    9999
659    1    0    9999
660    1    0    9999
661    1    0    9999
662    1    0    9999
663    1    0    9999
664    1    0    9999
665    1    0    9999
666    1    0    9999
667    1    0    9999
668    1    0    9999
669    1    0    9999
670    1    0    9999
671    1    0    9999
672    1    0    9999
673    1    0    9999
674    1    0    9999
675    1    0    9999
676    1    0    9999
677    1    0    9999
678    1    0    9999
679    1    0    9999
680    1    0    9999
681    1    0    9999
682    1    0    9999
683    1    0    9999
684    1    0    9999
685    1    0    9999
686    1    0    9999
687    1    0    9999
688    1    0    9999
689    1    0    9999
690    1    0    9999
691    1    0    9999
692    1    0    9999
693    1    0    9999
694    1    0    9999
695    1    0    9999
696    1    0    9999
697    1    0    9999
698    1    0    9999
699    1    0    9999
700    1    0    9999
701    1    0    9999
702    1    0    9999
703    1    0    9999
704    1    0    9999
705    1    0    9999
706    1    0    9999
707    1    0    9999
708    1    0    9999
709    1    0    9999
710    1    0    9999
711    1    0    9999
712    1    0    9999
713    1    0    9999
714    1    0    9999
715    1    0    9999
716    1    0    9999
717    1    0    9999
718    1    0    9999
719    1    0    9999
720    1    0    9999
721    1    0    9999
722    1    0    9999
723    1    0    9999
724    1    0    9999
725    1    0    9999
726    1    0    9999
727    1    0    9999
728    1    0    9999
729    1    0    9999
730    1    0    9999
731    1    0    9999
732    1    0    9999
733    1    0    9999
734    1    0    9999
735    1    0    9999
736    1    0    9999
737    1    0    9999
738    1    0    9999
739    1    0    9999
740    1    0    9999
741    1    0    9999
742    1    0    9999
743    1    0    9999
744    1    0    9999
745    1    0    9999
746    1    0    9999
747    1    0    9999
748    1    0    9999
749    1    0    9999
750    1    0    9999
751    1    0    9999
752    1    0    9999
753    1    0    9999
754    1    0    9999
755    1    0    9999
756    1    0    9999
757    1    0    9999
758    1    0    9999
759    1    0    9999
760    1    0    9999
761    1    0    9999
762    1    0    9999
763    1    0    9999
764    1    0    9999
765    1    0    9999
766    1    0    9999
767    1    0    9999
768    1    0    9999
769    1    0    9999
770    1    0    9999
771    1    0    9999
772    1    0    9999
773    1    0    9999
774    1    0    9999
775    1    0    9999
776    1    0    9999
777    1    0    9999
778    1    0    9999
779    1    0    9999
780    1    0    9999
781    1    0    9999
782    1    0    9999
783    1    0    9999
784    1    0    9999
785    1    0    9999
786    1    0    9999
787    1    0    9999
788    1    0    9999
789    1    0    9999
790    1    0    9999
791    1    0    9999
792    1    0    9999
793    1    0    9999
794    1    0    9999
795    1    0    9999
796    1    0    9999
797    1    0    9999
798    1    0    9999
799    1    0    9999
800    1    0    9999
801    1    0    9999
802    1    0    9999
803    1    0    9999
804    1    0    9999
805    1    0    9999
806    1    0    9999
807    1    0    9999
808    1    0    9999
809    1    0    9999
810    1    0    9999
811    1    0    9999
812    1    0    9999
813    1    0    9999
814    1    0    9999
815    1    0    9999
816    1    0    9999
817    1    0    9999
818    1    0    9999
819    1    0    9999
820    1    0    9999
821    1    0    9999
822    1    0    9999
823    1    0    9999
824    1    0    9999
825    1    0    9999
826    1    0    9999
827    1    0    9999
828    1    0    9999
829    1    0    9999
830    1    0    9999
831    1    0    9999
832    1    0    9999
833    1    0    9999
834    1    0    9999
835    1    0    9999
836    1    0    9999
837    1    0    9999
838    1    0    9999
839    1    0    9999
840    1    0    9999
841    1    0    9999
842    1    0    9999
843    1    0    9999
844    1    0    9999
845    1    0    9999
846    1    0    9999
847    1    0    9999
848    1    0    9999
849    1    0    9999
850    1    0    9999
851    1    0    9999
852    1    0    9999
853    1    0    9999
854    1    0    9999
855    1    0    9999
856    1    0    9999
857    1    0    9999
858    1    0    9999
859    1    0    9999
860    1    0    9999
861    1    0    9999
862    1    0    9999
863    1    0    9999
864    1    0    9999
865    1    0    9999
866    1    0    9999
867    1    0    9999
868    1    0    9999
869    1    0    9999
870    1    0    9999
871    1    0    9999
872    1    0    9999
873    1    0    9999
874    1    0    9999
875    1    0    9999
876    1    0    9999
877    1    0    9999
878    1    0    9999
879    1    0    9999
880    1    0    9999
881    1    0    9999
882    1    0    9999
883    1    0    9999
884    1    0    9999
885    1    0    9999
886    1    0    9999
887    1    0    9999
888    1    0    9999
889    1    0    9999
890    1    0    9999
891    1    0    9999
892    1    0    9999
893    1    0    9999
894    1    0    9999
895    1    0    9999
896    1    0    9999
897    1    0    9999
898    1    0    9999
899    1    0    9999
900    1    0    9999
901    1    0    9999
902    1    0    9999
903    1    0    9999
904    1    0    9999
905    1    0    9999
906    1    0    9999
907    1    0    9999
908    1    0    9999
909    1    0    9999
910    1    0    9999
911    1    0    9999
912    1    0    9999
913    1    0    9999
914    1    0    9999
915    1    0    9999
916    1    0    9999
917    1    0    9999
918    1    0    9999
919    1    0    9999
920    1    0    9999
921    1    0    9999
922    1    0    9999
923    1    0    9999
924    1    0    9999
925    1    0    9999
926    1    0    9999
927    1    0    9999
928    1    0    9999
929    1    0    9999
930    1    0    9999
931    1    0    9999
932    1    0    9999
933    1    0    9999
934    1    0    9999
935    1    0    9999
936    1    0    9999
937    1    0    9999
938    1    0    9999
939    1    0    9999
940    1    0    9999
941    1    0    9999
942    1    0    9999
943    1    0    9999
944    1    0    9999
945    1    0    9999
946    1    0    9999
947    1    0    9999
948    1    0    9999
949    1    0    9999
950    1    0    9999
951    1    0    9999
952    1    0    9999
953    1    0    9999
954    1    0    9999
955    1    0    9999
956    1    0    9999
957    1    0    9999
958    1    0    9999
959    1    0    9999
960    1    0    9999
961    1    0    9999
962    1    0    9999
963    1    0    9999
964    1    0    9999
965    1    0    9999
966    1    0    9999
967    1    0    9999
968    1    0    9999
969    1    0    9999
970    1    0    9999
971    1    0    9999
972    1    0    9999
973    1    0    9999
974    1    0    9999
975    1    0    9999
976    1    0    9999
977    1    0    9999
978    1    0    9999
979    1    0    9999
980    1    0    9999
981    1    0    9999
982    1    0    9999
983    1    0    9999
984    1    0    9999
985    1    0    9999
986    1    0    9999
987    1    0    9999
988    1    0    9999
989    1    0    9999
990    1    0    9999
991    1    0    9999
992    1    0    9999
993    1    0    9999
994    1    0    9999
995    1    0    9999
996    1    0    9999
997    1    0    9999
998    1    0    9999
999    1    0    9999
1000    1    0    9999
1001    1    0    9999
